TickID,S3Path,Status
tick_dcd57ebf,s3://antigravity-raw/2025-12-12/tick_dcd57ebf.json,PERSISTED
tick_7763157a,s3://antigravity-raw/2025-12-12/tick_7763157a.json,PERSISTED
tick_edf302b7,s3://antigravity-raw/2025-12-12/tick_edf302b7.json,PERSISTED
tick_d7a2c265,s3://antigravity-raw/2025-12-12/tick_d7a2c265.json,PERSISTED
tick_0c84d593,s3://antigravity-raw/2025-12-12/tick_0c84d593.json,PERSISTED
tick_fb6b1613,s3://antigravity-raw/2025-12-12/tick_fb6b1613.json,PERSISTED
tick_2320b70f,s3://antigravity-raw/2025-12-12/tick_2320b70f.json,PERSISTED
tick_02858f55,s3://antigravity-raw/2025-12-12/tick_02858f55.json,PERSISTED
tick_3f97dd8e,s3://antigravity-raw/2025-12-12/tick_3f97dd8e.json,PERSISTED
tick_dc6ba1a0,s3://antigravity-raw/2025-12-12/tick_dc6ba1a0.json,PERSISTED
