id,created_at,symbol,side,qty,price,slippage,pnl
5c16edff-9b92-4f17-ab23-c9ba511e31a0,2025-12-11 00:12:37.560438,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
5a225b09-3c7c-4241-abe2-dd1c2f5ba818,2025-12-11 00:12:37.560438,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
b8590da7-6f60-4dea-b1c5-c98855ae94c7,2025-12-11 00:12:37.560438,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
33544b94-e614-487d-a86f-57be75181794,2025-12-11 00:12:37.560438,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
7be72724-724b-4c60-ace2-0c58dc4dd69e,2025-12-11 00:12:37.560438,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
40afe53d-b2ad-41bd-b25e-6350ba8186ce,2025-12-11 00:12:37.560438,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
a4493832-eeed-4215-b04d-44c3e71e3316,2025-12-11 00:12:37.560438,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
225e27dd-668e-44c1-800f-72411c69d02a,2025-12-11 00:12:37.560438,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
cd3096bd-b71e-4beb-8db5-f7cb5ca4c053,2025-12-11 00:12:37.560438,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
5b851de8-2f4a-40e4-b2ce-a0908a674dd0,2025-12-11 00:12:37.560438,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
2c98b49e-e271-4d97-baca-724a22fa9bdb,2025-12-11 00:12:37.560438,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
8beecbab-dab5-4c6d-89c8-a7fe6cac8e5a,2025-12-11 00:12:37.560438,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
efc39ecd-6b21-4db4-a97f-2aa56b595e6c,2025-12-11 00:12:37.560438,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
61b8ad17-868b-4733-b209-d3d2c04cef8b,2025-12-11 00:12:37.560438,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
3ebacedb-f4af-4699-af91-73f32483019a,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
4c3b88cf-4097-4a9e-8aad-12309231f203,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
fbd87008-fb58-4f42-9c94-f69efb22633a,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
1523dd60-cf9d-405c-8bda-46946ddce699,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
3184dc93-0fc5-4506-aefd-ea2029dd3526,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
1b1d5942-c8e4-41c4-a6a5-a315f26d4979,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
7d8c5bd0-3d01-4404-80f0-4588bbdc981f,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
a2fee092-8963-4e94-850c-a58c924adb4a,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
7a8b3d01-23a1-4137-a365-ff269a72c0ac,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
68ecdc6e-d065-4deb-880f-a0f6877699d2,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
f478b74d-0404-48cb-8c81-bf54aaabbe44,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
edc0cc73-faad-4ebd-b2d8-202205218743,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
af9c9329-45fa-470a-9a20-c018452bd6e1,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
f126daaa-5e33-4616-8e4d-841ffbcd6340,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
ce26412f-aa9c-487b-b74f-ae8b524774b8,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
8cb60fef-c764-489e-ba64-06b523e0e513,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
60adbea9-d30d-4f06-87ec-895c1b97e6ef,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
115deacc-fc89-40fa-8074-fa985d05096c,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
36bc7beb-e87e-4162-adfa-eb8f96548f2f,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
8946fb2b-ece3-4749-9282-9ab300c3d52d,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
8f8b6cb1-e745-407c-b572-406df84e243d,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
0dd09793-9601-4c7b-942f-6889bc89b9b4,2025-12-11 00:12:37.560953,PNL_TEST_INST,BUY,1.0,100.0,0.01,1.0
