signal_id,score,validity,wick_ratio,is_poke
sig_iter4_0,71,YES,2.311031012742985,True
sig_iter4_1,71,YES,2.0577269726012433,True
sig_iter4_2,71,NO,0.7788016014639445,True
sig_iter4_3,71,YES,1.832342825017448,True
sig_iter4_4,71,YES,1.7235063240937702,True
sig_iter4_5,71,YES,1.4817571225580488,True
sig_iter4_6,71,YES,2.2398651479823672,True
sig_iter4_7,71,YES,1.7673092125292191,True
sig_iter4_8,71,YES,1.3183473033765716,True
sig_iter4_9,71,NO,1.00733040832968,True
sig_iter4_10,71,YES,1.2213723133194163,True
sig_iter4_11,71,NO,0.795215470137987,True
sig_iter4_12,71,YES,2.442091097485501,True
sig_iter4_13,71,NO,0.8172263398786077,True
sig_iter4_14,71,YES,2.3975922033947237,True
sig_iter4_15,71,YES,1.6052874392137293,True
sig_iter4_16,71,NO,0.7646378789928999,True
sig_iter4_17,71,YES,2.4931372046680558,True
sig_iter4_18,71,YES,2.4038454454556937,True
sig_iter4_19,71,YES,2.4331173321395343,True
sig_iter4_20,71,YES,2.075249167640227,True
sig_iter4_21,71,YES,1.3436624598155775,True
