signal_id,score,validity,wick_ratio,is_poke
sig_iter4_0,71,YES,1.5029673214698642,True
sig_iter4_1,71,YES,1.8497238135944996,True
sig_iter4_2,71,NO,0.821384517547943,True
sig_iter4_3,71,YES,1.7672413948782886,True
sig_iter4_4,71,YES,1.7178736990327454,True
sig_iter4_5,71,NO,0.8508011852066268,True
sig_iter4_6,71,NO,1.0664235144041885,True
sig_iter4_7,71,YES,2.2898949617342157,True
sig_iter4_8,71,YES,1.8836413924694182,True
sig_iter4_9,71,NO,1.154187159630273,True
sig_iter4_10,71,YES,1.5966711297919038,True
sig_iter4_11,71,YES,1.307204493481679,True
sig_iter4_12,71,YES,1.5993042100914325,True
sig_iter4_13,71,YES,2.2762915300200914,True
sig_iter4_14,71,YES,2.4590297705690207,True
